true_frequency_hz,assumed_frequency_hz,absolute_frequency_error_hz,relative_frequency_error,true_angle_deg,predicted_angle_deg,estimated_angle_deg,prediction_error_deg,aoa_error_deg,is_physically_feasible,used_alias_frequency,sampling_rate_hz,sampling_rates_mhz
500000000,495000000,-5000000,-0.01,0,0.0,8.214424534023367e-13,8.214424534023367e-13,8.214424534023367e-13,True,False,,32+35
500000000,498000000,-2000000,-0.004,0,0.0,8.214562518909763e-13,8.214562518909763e-13,8.214562518909763e-13,True,False,,32+35
500000000,499000000,-1000000,-0.002,0,0.0,8.214608302226254e-13,8.214608302226254e-13,8.214608302226254e-13,True,False,,32+35
500000000,499500000,-500000,-0.001,0,0.0,8.214631154458066e-13,8.214631154458066e-13,8.214631154458066e-13,True,False,,32+35
500000000,499900000,-100000,-0.0002,0,0.0,8.214649417370535e-13,8.214649417370535e-13,8.214649417370535e-13,True,False,,32+35
500000000,500000000,0,0.0,0,0.0,8.214670223975554e-13,8.214670223975554e-13,8.214670223975554e-13,True,False,,32+35
500000000,500100000,100000,0.0002,0,0.0,8.214642299288959e-13,8.214642299288959e-13,8.214642299288959e-13,True,False,,32+35
500000000,500500000,500000,0.001,0,0.0,8.214676780352033e-13,8.214676780352033e-13,8.214676780352033e-13,True,False,,32+35
500000000,501000000,1000000,0.002,0,0.0,8.214699554126936e-13,8.214699554126936e-13,8.214699554126936e-13,True,False,,32+35
500000000,502000000,2000000,0.004,0,0.0,8.214745023613115e-13,8.214745023613115e-13,8.214745023613115e-13,True,False,,32+35
500000000,505000000,5000000,0.01,0,0.0,8.21488081156755e-13,8.21488081156755e-13,8.21488081156755e-13,True,False,,32+35
500000000,510000000,10000000,0.02,0,0.0,8.215105082783266e-13,8.215105082783266e-13,8.215105082783266e-13,True,False,,32+35
500000000,520000000,20000000,0.04,0,0.0,8.215546159122867e-13,8.215546159122867e-13,8.215546159122867e-13,True,False,,32+35
500000000,-12000000.0,-512000000.0,-1.024,0,-0.0,8.097616946735606e-13,8.097616946735606e-13,8.097616946735606e-13,True,True,32000000.0,32+35
500000000,10000000.0,-490000000.0,-0.98,0,0.0,8.089603116564862e-13,8.089603116564862e-13,8.089603116564862e-13,True,True,35000000.0,32+35
500000000,480000000,-20000000,-0.04,10,10.421226473812048,10.40477569070491,-0.01645078310713899,0.40477569070490915,True,False,,32+35
500000000,490000000,-10000000,-0.02,10,10.206245323730247,10.200910271057257,-0.005335052672990059,0.200910271057257,True,False,,32+35
500000000,495000000,-5000000,-0.01,10,10.10206448541769,10.107211865923682,0.005147380505992061,0.10721186592368248,True,False,,32+35
500000000,498000000,-2000000,-0.004,10,10.04057599787602,10.0130890429445,-0.027486954931520202,0.013089042944500306,True,False,,32+35
500000000,499000000,-1000000,-0.002,10,10.02024670696634,10.004458596550565,-0.01578811041577488,0.004458596550565019,True,False,,32+35
500000000,499500000,-500000,-0.001,10,10.010113062139565,10.001706713765351,-0.008406348374213835,0.0017067137653512532,True,False,,32+35
500000000,499900000,-100000,-0.0002,10,10.002020968839417,10.000226623157038,-0.0017943456823790171,0.0002266231570384747,True,False,,32+35
500000000,500000000,0,0.0,10,10.0,10.000002253756694,2.2537566941593923e-06,2.2537566941593923e-06,True,False,,32+35
500000000,500100000,100000,0.0002,10,9.997979851948278,9.999786880452085,0.0018070285038067624,-0.00021311954791514154,True,False,,32+35
500000000,500500000,500000,0.001,10,9.989907457573514,9.998318513578214,0.008411056004700157,-0.0016814864217860048,True,False,,32+35
500000000,501000000,1000000,0.002,10,9.979835372143965,9.995594394261968,0.01575902211800262,-0.004405605738032392,True,False,,32+35
500000000,502000000,2000000,0.004,10,9.959752322693102,9.987128049583434,0.027375726890332075,-0.012871950416565525,True,False,,32+35
500000000,505000000,5000000,0.01,10,9.899987698753508,9.900010668524134,2.296977062599126e-05,-0.0999893314758662,True,False,,32+35
500000000,510000000,10000000,0.02,10,9.801965994217744,9.800219187623542,-0.0017468065942018995,-0.19978081237645817,True,False,,32+35
500000000,520000000,20000000,0.04,10,9.611660164605818,9.602065192966354,-0.009594971639463878,-0.39793480703364636,True,False,,32+35
500000000,-12000000.0,-512000000.0,-1.024,10,nan,-60.0,nan,-70.0,False,True,32000000.0,32+35
500000000,10000000.0,-490000000.0,-0.98,10,nan,60.000000000001705,nan,50.000000000001705,False,True,35000000.0,32+35
500000000,480000000,-20000000,-0.04,50,52.93601744066989,52.96967590310895,0.03365846243905679,2.96967590310895,True,False,,32+35
500000000,490000000,-10000000,-0.02,50,51.41446958028343,51.402845684427675,-0.011623895855755961,1.4028456844276747,True,False,,32+35
500000000,495000000,-5000000,-0.01,50,50.69475866985953,50.683417236721596,-0.011341433137936008,0.6834172367215956,True,False,,32+35
500000000,498000000,-2000000,-0.004,50,50.27501434863399,50.24381023260835,-0.031204116025641326,0.24381023260834667,True,False,,32+35
500000000,499000000,-1000000,-0.002,50,50.13703400459706,50.17065751497798,0.03362351038092015,0.17065751497798232,True,False,,32+35
500000000,499500000,-500000,-0.001,50,50.06839947445046,50.03546186526697,-0.032937609183491645,0.03546186526696715,True,False,,32+35
500000000,499900000,-100000,-0.0002,50,50.01366116311584,50.00262890434564,-0.011032258770200087,0.0026289043456415584,True,False,,32+35
500000000,500000000,0,0.0,50,50.0,50.00001572424836,1.5724248356718817e-05,1.5724248356718817e-05,True,False,,32+35
500000000,500100000,100000,0.0002,50,49.98634817868105,49.99752861966258,0.01118044098153348,-0.0024713803374183385,True,False,,32+35
