sampling_rates_mhz,frequency_hz,angle_deg,snr_db,snapshots_per_branch,num_branches,total_snapshots,method,bias_deg,mae_deg,rmse_deg,median_abs_error_deg,p90_abs_error_deg,p95_abs_error_deg,success_rate_1deg,success_rate_2deg,catastrophic_rate_5deg,invalid_rate
Nyquist_3000,800000000.0,10,10,128,1,128,MUSIC,-0.011502249089099869,0.06185484680515305,0.07525767242110357,0.05598353736571493,0.10646763784662257,0.134498341674073,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,10,20,128,1,128,MUSIC,-0.0025852544027703318,0.010672376638872194,0.013412962291689803,0.00942020614244754,0.019770118802762932,0.02450853453316809,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,50,-10,128,1,128,MUSIC,-0.4293463208829607,1.6877742643908675,1.9305627653679547,1.5480040191433346,2.9285700526033853,3.1507960153909633,0.3,0.6,0.0,0.0
Nyquist_3000,800000000.0,50,0,128,1,128,MUSIC,-0.04712624082848578,0.28624180203232613,0.3491409269347628,0.3006725680734519,0.4911643276154052,0.5621085543840165,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,50,10,128,1,128,MUSIC,0.0003587933271383292,0.0813985806178188,0.09968703731114503,0.08230205041332539,0.1397384638141531,0.16591414697379314,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,50,20,128,1,128,MUSIC,0.001321217250680462,0.01783569145198314,0.02179140588365578,0.01735019112120284,0.030281825371914546,0.036897641770113745,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,-50,-10,128,1,128,MUSIC,-0.0944271788227212,0.8959293411626987,1.0428869058937635,0.9813594396532217,1.5331148034497033,1.616442567917881,0.5,1.0,0.0,0.0
Nyquist_3000,1300000000.0,-50,0,128,1,128,MUSIC,-0.08805486224094708,0.18378187220825523,0.23788730258919633,0.20534226763372487,0.3399800405568235,0.41093279202402344,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,-50,10,128,1,128,MUSIC,-0.03168366261613968,0.05183815489519148,0.06849934686114105,0.03969835937371968,0.09463139458896916,0.12545306165978856,1.0,1.0,0.0,0.0
Nyquist_3000,1300000000.0,-50,20,128,1,128,MUSIC,-0.0062503153289227955,0.009579707156959216,0.013065999536752715,0.007149715910099275,0.017603343344243422,0.024529309340043763,1.0,1.0,0.0,0.0
